item,judge,objective,target_objective,score
I1,1,A,A,1
I2,1,A,B,-1
I3,1,A,C,-1
I1,2,A,A,1
I2,2,A,B,-1
I3,2,A,C,0
I1,3,A,A,1
I2,3,A,B,-1
I3,3,A,C,-1
I1,4,A,A,1
I2,4,A,B,0
I3,4,A,C,-1
I1,5,A,A,1
I2,5,A,B,-1
I3,5,A,C,0
I1,6,A,A,1
I2,6,A,B,0
I3,6,A,C,-1
I1,1,B,A,-1
I2,1,B,B,1
I3,1,B,C,1
I1,2,B,A,-1
I2,2,B,B,1
I3,2,B,C,0
I1,3,B,A,0
I2,3,B,B,1
I3,3,B,C,1
I1,4,B,A,-1
I2,4,B,B,1
I3,4,B,C,0
I1,5,B,A,0
I2,5,B,B,1
I3,5,B,C,1
I1,6,B,A,-1
I2,6,B,B,1
I3,6,B,C,0
I1,1,C,A,-1
I2,1,C,B,-1
I3,1,C,C,1
I1,2,C,A,-1
I2,2,C,B,-1
I3,2,C,C,1
I1,3,C,A,-1
I2,3,C,B,-1
I3,3,C,C,1
I1,4,C,A,-1
I2,4,C,B,-1
I3,4,C,C,1
I1,5,C,A,-1
I2,5,C,B,0
I3,5,C,C,0
I1,6,C,A,-1
I2,6,C,B,-1
I3,6,C,C,1
