item,rater,construct,target_construct,rating
A1,1,A,A,5
A2,1,A,A,4
B1,1,A,B,2
B2,1,A,B,3
C1,1,A,C,2
C2,1,A,C,2
A1,2,A,A,4
A2,2,A,A,4
B1,2,A,B,2
B2,2,A,B,3
C1,2,A,C,2
C2,2,A,C,3
A1,3,A,A,5
A2,3,A,A,3
B1,3,A,B,1
B2,3,A,B,4
C1,3,A,C,1
C2,3,A,C,2
A1,4,A,A,4
A2,4,A,A,4
B1,4,A,B,2
B2,4,A,B,3
C1,4,A,C,2
C2,4,A,C,2
A1,5,A,A,5
A2,5,A,A,4
B1,5,A,B,2
B2,5,A,B,3
C1,5,A,C,2
C2,5,A,C,3
A1,6,A,A,5
A2,6,A,A,3
B1,6,A,B,1
B2,6,A,B,4
C1,6,A,C,1
C2,6,A,C,2
A1,7,A,A,5
A2,7,A,A,4
B1,7,A,B,2
B2,7,A,B,3
C1,7,A,C,2
C2,7,A,C,2
A1,8,A,A,4
A2,8,A,A,4
B1,8,A,B,2
B2,8,A,B,3
C1,8,A,C,2
C2,8,A,C,3
A1,9,A,A,5
A2,9,A,A,3
B1,9,A,B,1
B2,9,A,B,4
C1,9,A,C,1
C2,9,A,C,2
A1,10,A,A,4
A2,10,A,A,4
B1,10,A,B,2
B2,10,A,B,3
C1,10,A,C,2
C2,10,A,C,2
A1,11,A,A,5
A2,11,A,A,4
B1,11,A,B,2
B2,11,A,B,3
C1,11,A,C,2
C2,11,A,C,3
A1,12,A,A,5
A2,12,A,A,3
B1,12,A,B,1
B2,12,A,B,4
C1,12,A,C,1
C2,12,A,C,2
A1,13,A,A,5
A2,13,A,A,4
B1,13,A,B,2
B2,13,A,B,3
C1,13,A,C,2
C2,13,A,C,2
A1,14,A,A,4
A2,14,A,A,4
B1,14,A,B,2
B2,14,A,B,3
C1,14,A,C,2
C2,14,A,C,3
A1,15,A,A,5
A2,15,A,A,3
B1,15,A,B,1
B2,15,A,B,4
C1,15,A,C,1
C2,15,A,C,2
A1,16,A,A,4
A2,16,A,A,4
B1,16,A,B,2
B2,16,A,B,3
C1,16,A,C,2
C2,16,A,C,2
A1,17,A,A,5
A2,17,A,A,4
B1,17,A,B,2
B2,17,A,B,3
C1,17,A,C,2
C2,17,A,C,3
A1,18,A,A,5
A2,18,A,A,3
B1,18,A,B,1
B2,18,A,B,4
C1,18,A,C,1
C2,18,A,C,2
A1,19,A,A,5
A2,19,A,A,4
B1,19,A,B,2
B2,19,A,B,3
C1,19,A,C,2
C2,19,A,C,2
A1,20,A,A,4
A2,20,A,A,4
B1,20,A,B,2
B2,20,A,B,3
C1,20,A,C,2
C2,20,A,C,3
A1,21,A,A,5
A2,21,A,A,3
B1,21,A,B,1
B2,21,A,B,4
C1,21,A,C,1
C2,21,A,C,2
A1,22,A,A,4
A2,22,A,A,4
B1,22,A,B,2
B2,22,A,B,3
C1,22,A,C,2
C2,22,A,C,2
A1,23,A,A,5
A2,23,A,A,4
B1,23,A,B,2
B2,23,A,B,3
C1,23,A,C,2
C2,23,A,C,3
A1,24,A,A,5
A2,24,A,A,3
B1,24,A,B,1
B2,24,A,B,4
C1,24,A,C,1
C2,24,A,C,2
A1,1,B,A,2
A2,1,B,A,3
B1,1,B,B,5
B2,1,B,B,4
C1,1,B,C,2
C2,1,B,C,3
A1,2,B,A,2
A2,2,B,A,3
B1,2,B,B,4
B2,2,B,B,4
C1,2,B,C,3
C2,2,B,C,3
A1,3,B,A,1
A2,3,B,A,4
B1,3,B,B,5
B2,3,B,B,3
C1,3,B,C,2
C2,3,B,C,4
A1,4,B,A,2
A2,4,B,A,3
B1,4,B,B,4
B2,4,B,B,4
C1,4,B,C,2
C2,4,B,C,3
A1,5,B,A,2
A2,5,B,A,3
B1,5,B,B,5
B2,5,B,B,4
C1,5,B,C,3
C2,5,B,C,3
A1,6,B,A,1
A2,6,B,A,4
B1,6,B,B,5
B2,6,B,B,3
C1,6,B,C,2
C2,6,B,C,4
A1,7,B,A,2
A2,7,B,A,3
B1,7,B,B,5
B2,7,B,B,4
C1,7,B,C,2
C2,7,B,C,3
A1,8,B,A,2
A2,8,B,A,3
B1,8,B,B,4
B2,8,B,B,4
C1,8,B,C,3
C2,8,B,C,3
A1,9,B,A,1
A2,9,B,A,4
B1,9,B,B,5
B2,9,B,B,3
C1,9,B,C,2
C2,9,B,C,4
A1,10,B,A,2
A2,10,B,A,3
B1,10,B,B,4
B2,10,B,B,4
C1,10,B,C,2
C2,10,B,C,3
A1,11,B,A,2
A2,11,B,A,3
B1,11,B,B,5
B2,11,B,B,4
C1,11,B,C,3
C2,11,B,C,3
A1,12,B,A,1
A2,12,B,A,4
B1,12,B,B,5
B2,12,B,B,3
C1,12,B,C,2
C2,12,B,C,4
A1,13,B,A,2
A2,13,B,A,3
B1,13,B,B,5
B2,13,B,B,4
C1,13,B,C,2
C2,13,B,C,3
A1,14,B,A,2
A2,14,B,A,3
B1,14,B,B,4
B2,14,B,B,4
C1,14,B,C,3
C2,14,B,C,3
A1,15,B,A,1
A2,15,B,A,4
B1,15,B,B,5
B2,15,B,B,3
C1,15,B,C,2
C2,15,B,C,4
A1,16,B,A,2
A2,16,B,A,3
B1,16,B,B,4
B2,16,B,B,4
C1,16,B,C,2
C2,16,B,C,3
A1,17,B,A,2
A2,17,B,A,3
B1,17,B,B,5
B2,17,B,B,4
C1,17,B,C,3
C2,17,B,C,3
A1,18,B,A,1
A2,18,B,A,4
B1,18,B,B,5
B2,18,B,B,3
C1,18,B,C,2
C2,18,B,C,4
A1,19,B,A,2
A2,19,B,A,3
B1,19,B,B,5
B2,19,B,B,4
C1,19,B,C,2
C2,19,B,C,3
A1,20,B,A,2
A2,20,B,A,3
B1,20,B,B,4
B2,20,B,B,4
C1,20,B,C,3
C2,20,B,C,3
A1,21,B,A,1
A2,21,B,A,4
B1,21,B,B,5
B2,21,B,B,3
C1,21,B,C,2
C2,21,B,C,4
A1,22,B,A,2
A2,22,B,A,3
B1,22,B,B,4
B2,22,B,B,4
C1,22,B,C,2
C2,22,B,C,3
A1,23,B,A,2
A2,23,B,A,3
B1,23,B,B,5
B2,23,B,B,4
