item,rater,target_construct,assigned_construct
A1,1,A,A
A1,2,A,A
A1,3,A,A
A1,4,A,A
A1,5,A,A
A1,6,A,A
A1,7,A,A
A1,8,A,A
A1,9,A,A
A1,10,A,A
A1,11,A,A
A1,12,A,A
A1,13,A,A
A1,14,A,A
A1,15,A,A
A1,16,A,A
A1,17,A,A
A1,18,A,A
A1,19,A,B
A1,20,A,C
A2,1,A,A
A2,2,A,A
A2,3,A,A
A2,4,A,A
A2,5,A,A
A2,6,A,A
A2,7,A,A
A2,8,A,A
A2,9,A,A
A2,10,A,A
A2,11,A,A
A2,12,A,A
A2,13,A,A
A2,14,A,A
A2,15,A,A
A2,16,A,B
A2,17,A,B
A2,18,A,B
A2,19,A,C
A2,20,A,C
B1,1,B,B
B1,2,B,B
B1,3,B,B
B1,4,B,B
B1,5,B,B
B1,6,B,B
B1,7,B,B
B1,8,B,B
B1,9,B,B
B1,10,B,B
B1,11,B,B
B1,12,B,B
B1,13,B,B
B1,14,B,B
B1,15,B,B
B1,16,B,B
B1,17,B,B
B1,18,B,A
B1,19,B,A
B1,20,B,C
B2,1,B,B
B2,2,B,B
B2,3,B,B
B2,4,B,B
B2,5,B,B
B2,6,B,B
B2,7,B,B
B2,8,B,B
B2,9,B,B
B2,10,B,B
B2,11,B,B
B2,12,B,B
B2,13,B,B
B2,14,B,A
B2,15,B,A
B2,16,B,A
B2,17,B,A
B2,18,B,A
B2,19,B,C
B2,20,B,C
C1,1,C,C
C1,2,C,C
C1,3,C,C
C1,4,C,C
C1,5,C,C
C1,6,C,C
C1,7,C,C
C1,8,C,C
C1,9,C,C
C1,10,C,C
C1,11,C,C
C1,12,C,C
C1,13,C,C
C1,14,C,C
C1,15,C,C
C1,16,C,C
C1,17,C,C
C1,18,C,C
C1,19,C,A
C1,20,C,B
C2,1,C,C
C2,2,C,C
C2,3,C,C
C2,4,C,C
C2,5,C,C
C2,6,C,C
C2,7,C,C
C2,8,C,C
C2,9,C,C
C2,10,C,C
C2,11,C,C
C2,12,C,C
C2,13,C,C
C2,14,C,C
C2,15,C,B
C2,16,C,B
C2,17,C,B
C2,18,C,B
C2,19,C,A
C2,20,C,A
