respondent,cohort,EF1,EF2,EF3,EF4,EF5,EF6,TF1,TF2,TF3,TF4,TF5,TF6
1,A,3,4,5,3,4,2,3,4,4,5,5,4
2,A,4,4,5,3,5,2,5,3,5,3,4,3
3,A,4,3,5,3,2,2,2,3,3,3,4,3
4,A,5,3,5,3,5,4,2,2,2,4,2,2
5,A,3,2,5,5,3,3,4,4,2,4,4,3
6,A,4,2,5,4,3,1,4,3,5,2,3,4
7,A,1,3,4,4,3,1,5,3,5,3,5,4
8,A,3,1,4,1,1,1,3,3,2,1,4,3
9,A,3,1,5,5,3,3,4,3,3,2,5,5
10,A,3,3,5,3,5,5,5,5,4,5,4,4
11,A,3,3,5,1,3,3,3,2,4,3,1,5
12,A,3,3,4,2,2,1,3,2,2,2,4,2
13,A,5,5,5,5,2,5,5,4,4,4,2,1
14,A,2,4,5,3,2,1,2,3,3,2,1,4
15,A,3,4,5,2,2,4,3,4,4,4,3,2
16,A,2,2,5,2,2,4,3,2,5,3,2,2
17,A,3,5,4,4,1,3,2,4,3,4,4,3
18,A,2,1,5,1,3,1,2,1,3,1,1,2
19,A,1,1,5,3,2,1,1,2,3,1,1,1
20,A,3,3,4,3,1,2,3,3,4,2,2,3
21,A,5,5,5,5,5,5,3,5,3,5,5,5
22,A,3,3,5,5,2,4,3,4,5,4,2,3
23,A,4,4,5,5,4,3,4,5,1,2,3,5
24,A,4,2,5,4,5,5,5,5,3,4,4,3
25,A,3,4,5,4,4,3,4,4,3,3,3,2
26,A,3,4,5,5,4,4,2,4,4,3,4,2
27,A,3,3,5,2,4,4,1,2,1,3,1,3
28,A,3,3,4,3,4,3,2,3,3,2,2,1
29,A,4,4,5,2,3,3,4,3,2,2,3,5
30,A,4,4,5,4,3,3,3,2,1,3,4,2
31,A,4,3,5,5,3,4,3,4,2,5,3,3
32,A,5,5,5,4,5,5,5,4,1,5,2,3
33,A,2,3,5,2,3,4,3,3,2,2,2,2
34,A,5,4,5,4,5,3,4,5,3,5,4,4
