item,rater,target_construct,assigned_construct
EF1,1,EF,EF
EF1,2,EF,EF
EF1,3,EF,EF
EF1,4,EF,EF
EF1,5,EF,EF
EF1,6,EF,EF
EF1,7,EF,EF
EF1,8,EF,EF
EF1,9,EF,EF
EF1,10,EF,EF
EF1,11,EF,EF
EF1,12,EF,EF
EF1,13,EF,EF
EF1,14,EF,EF
EF1,15,EF,EF
EF1,16,EF,EF
EF1,17,EF,EF
EF1,18,EF,EF
EF1,19,EF,EF
EF1,20,EF,TF
EF2,1,EF,EF
EF2,2,EF,EF
EF2,3,EF,EF
EF2,4,EF,EF
EF2,5,EF,EF
EF2,6,EF,EF
EF2,7,EF,EF
EF2,8,EF,EF
EF2,9,EF,EF
EF2,10,EF,EF
EF2,11,EF,EF
EF2,12,EF,EF
EF2,13,EF,EF
EF2,14,EF,EF
EF2,15,EF,EF
EF2,16,EF,EF
EF2,17,EF,EF
EF2,18,EF,EF
EF2,19,EF,TF
EF2,20,EF,TA
EF3,1,EF,EF
EF3,2,EF,EF
EF3,3,EF,EF
EF3,4,EF,EF
EF3,5,EF,EF
EF3,6,EF,EF
EF3,7,EF,EF
EF3,8,EF,EF
EF3,9,EF,EF
EF3,10,EF,EF
EF3,11,EF,EF
EF3,12,EF,EF
EF3,13,EF,EF
EF3,14,EF,EF
EF3,15,EF,EF
EF3,16,EF,EF
EF3,17,EF,EF
EF3,18,EF,TF
EF3,19,EF,TF
EF3,20,EF,TA
EF4,1,EF,EF
EF4,2,EF,EF
EF4,3,EF,EF
EF4,4,EF,EF
EF4,5,EF,EF
EF4,6,EF,EF
EF4,7,EF,EF
EF4,8,EF,EF
EF4,9,EF,EF
EF4,10,EF,EF
EF4,11,EF,EF
EF4,12,EF,EF
EF4,13,EF,EF
EF4,14,EF,EF
EF4,15,EF,EF
EF4,16,EF,EF
EF4,17,EF,EF
EF4,18,EF,EF
EF4,19,EF,TF
EF4,20,EF,TF
EF5,1,EF,EF
EF5,2,EF,EF
EF5,3,EF,EF
EF5,4,EF,EF
EF5,5,EF,EF
EF5,6,EF,EF
EF5,7,EF,EF
EF5,8,EF,EF
EF5,9,EF,EF
EF5,10,EF,EF
EF5,11,EF,EF
EF5,12,EF,TF
EF5,13,EF,TA
EF5,14,EF,TA
EF5,15,EF,TA
EF5,16,EF,TA
EF5,17,EF,TA
EF5,18,EF,TA
EF5,19,EF,TA
EF5,20,EF,TA
EF6,1,EF,EF
EF6,2,EF,EF
EF6,3,EF,EF
EF6,4,EF,EF
EF6,5,EF,EF
EF6,6,EF,EF
EF6,7,EF,EF
EF6,8,EF,EF
EF6,9,EF,EF
EF6,10,EF,EF
EF6,11,EF,EF
EF6,12,EF,EF
EF6,13,EF,EF
EF6,14,EF,EF
EF6,15,EF,EF
EF6,16,EF,TF
EF6,17,EF,TF
EF6,18,EF,TF
EF6,19,EF,TA
EF6,20,EF,TA
TF1,1,TF,EF
TF1,2,TF,TF
TF1,3,TF,TF
TF1,4,TF,TF
TF1,5,TF,TF
TF1,6,TF,TF
TF1,7,TF,TF
TF1,8,TF,TF
TF1,9,TF,TF
TF1,10,TF,TF
TF1,11,TF,TF
TF1,12,TF,TF
TF1,13,TF,TF
TF1,14,TF,TF
TF1,15,TF,TF
TF1,16,TF,TF
TF1,17,TF,TF
TF1,18,TF,TF
TF1,19,TF,TF
TF1,20,TF,TF
TF2,1,TF,EF
TF2,2,TF,EF
TF2,3,TF,TF
TF2,4,TF,TF
TF2,5,TF,TF
TF2,6,TF,TF
TF2,7,TF,TF
TF2,8,TF,TF
TF2,9,TF,TF
TF2,10,TF,TF
TF2,11,TF,TF
TF2,12,TF,TF
TF2,13,TF,TF
TF2,14,TF,TF
TF2,15,TF,TF
TF2,16,TF,TF
TF2,17,TF,TF
TF2,18,TF,TF
TF2,19,TF,TF
TF2,20,TF,TA
TF3,1,TF,EF
TF3,2,TF,TF
TF3,3,TF,TF
TF3,4,TF,TF
TF3,5,TF,TF
TF3,6,TF,TF
TF3,7,TF,TF
TF3,8,TF,TF
TF3,9,TF,TF
TF3,10,TF,TF
TF3,11,TF,TF
TF3,12,TF,TF
TF3,13,TF,TF
TF3,14,TF,TF
TF3,15,TF,TF
TF3,16,TF,TF
TF3,17,TF,TF
TF3,18,TF,TF
TF3,19,TF,TF
TF3,20,TF,TA
TF4,1,TF,EF
TF4,2,TF,EF
TF4,3,TF,EF
TF4,4,TF,EF
TF4,5,TF,TF
TF4,6,TF,TF
TF4,7,TF,TF
TF4,8,TF,TF
TF4,9,TF,TF
TF4,10,TF,TF
TF4,11,TF,TF
TF4,12,TF,TF
TF4,13,TF,TF
TF4,14,TF,TF
TF4,15,TF,TF
TF4,16,TF,TF
TF4,17,TF,TF
TF4,18,TF,TF
TF4,19,TF,TF
TF4,20,TF,TF
TF5,1,TF,EF
TF5,2,TF,EF
TF5,3,TF,EF
TF5,4,TF,EF
TF5,5,TF,EF
TF5,6,TF,EF
TF5,7,TF,EF
TF5,8,TF,EF
TF5,9,TF,EF
TF5,10,TF,EF
TF5,11,TF,EF
TF5,12,TF,EF
TF5,13,TF,EF
TF5,14,TF,TF
TF5,15,TF,TF
TF5,16,TF,TF
TF5,17,TF,TF
TF5,18,TF,TF
TF5,19,TF,TF
TF5,20,TF,TA
TF6,1,TF,EF
TF6,2,TF,EF
TF6,3,TF,TF
TF6,4,TF,TF
TF6,5,TF,TF
TF6,6,TF,TF
TF6,7,TF,TF
TF6,8,TF,TF
TF6,9,TF,TF
TF6,10,TF,TF
TF6,11,TF,TF
TF6,12,TF,TF
TF6,13,TF,TF
TF6,14,TF,TF
TF6,15,TF,TF
TF6,16,TF,TF
TF6,17,TF,TF
TF6,18,TF,TF
TF6,19,TF,TF
TF6,20,TF,TF
